company,website,snippet,matched_keyword,query
Channel Manager pour location saisonnière,https://www.lodgify.com/fr/channel-manager-location-saisonniere/,"Synchronisez Airbnb, Booking et Abritel avec le Channel Manager de Lodgify. Évitez les doubles réservations et centralisez votre gestion.",channel manager,channel manager France 
Travel API Integration: What Tour Operators Need to Know,https://www.travelbooster.com/blog_post/travel-api-integration/,"Learn how travel API integration enables real-time pricing, automation, and scalable supplier connectivity for operators.",api,tour operator API France
Travel APIs,https://www.postman.com/category/travel-apis,Exciting Travel APIs handpicked by Postman for seamless retrieval of real-time travel data and building exceptional travel apps.,api,tour operator API France
Tour Operators API | Tour API Integration,https://www.travelopro.com/tour-operators-api.php,"The Tour Operators API can be used to access live product, booking, and customer data in real-time. The API can be used by Marketplace agents to access content",api,tour operator API France
"Advance Passenger Information (API): What is it, what do ...",https://www.leshuttle.com/uk-en/support/articles/advance-passenger-information-(api)-what-is-it-what-do-you-need-to-provide-and-how-do-you-provide-it-30404892855313,"To ensure a smooth journey through our terminals, it is mandatory to provide passenger information for all passengers on your booking 24 hours before travel ...",api,tour operator API France
14 Channel Managers for Experience Operators,https://arival.travel/article/14-channel-managers-for-experience-operators/,"An overview of channel management providers focused on the tours, activities and attractions sector, from the Arival Guide to Channel Management.",channel manager,travel supplier channel manager France
Best Channel Manager for Travel Operators,https://tourbiz.fr/en/channel-manager-software/,"Tourbiz, your French ally in the world of online booking, is redefining access to and management of travel and leisure activities. With an intuitive and ...",channel manager,travel supplier channel manager France
NextPax Channel Manager | For All Accommodation Types,https://nextpax.com/channel-manager,"Simplify your accommodation management with the NextPax Channel Manager. Connect, streamline distribution, and maximize bookings.",channel manager,travel supplier channel manager France
"Hi, anyone using a good channel manager? Looking for a ...",https://www.facebook.com/groups/professionalhosts/posts/25568786732791344/,"Hi, anyone using a good channel manager? Looking for a solution for 8apartmenta rental, Airbnb booking Expedia trip OTA integration. Anything in reasonable ...",channel manager,travel supplier channel manager France
What is the use of channel manager for an Indian Hotel?,https://www.quora.com/Travel-Websites-What-is-the-use-of-channel-manager-for-an-Indian-Hotel,Travel Websites: What is the use of channel manager for an Indian Hotel?,channel manager,travel supplier channel manager France
Channel Manager - F/M - Esker France,https://bebee.com/fr/jobs/channel-manager-esker-france-villeurbanne--fj-2142608292,"Key Responsibilities Identify, recruit, and qualify potential partners (resellers, editors, GSIs) by defining criteria, meeting teams, and assessing fit.",channel manager,travel supplier channel manager France
Compare Travel Agency Software vs Chronogolf ...,https://crozdesk.com/compare/travel-agency-software-vs-seekda-channel-manager-vs-chronogolf,"About Seekda Channel Manager. Seekda Channel Manager connects your hotel to over 30+ online travel agencies, including Booking.com, Expedia, Google, Trivago ...",channel manager,travel supplier channel manager France
EUROAPI announces the French AMF approval on its ...,https://www.euroapi.com/en/euroapi-announces-the-french-amf-approval-on-its-prospectus,"EUROAPI announces the French AMF approval on its prospectus and moves towards its listing on Euronext Paris expected on May 6, 2022.",api,DMC API France
API Archives,https://www.dmcinfo.com/blog/tag/api/,"Complete automation solutions, software development, and custom hardware engineering. Our Company Working With Us Careers",api,DMC API France
APIs,https://help.sap.com/docs/sap-digital-manufacturing/insights/apis,"SAP Digital Manufacturing MDOs are exposed via OData read APIs, allowing you to read and filter MDO data. You can use these APIs to extract MDO data.",api,DMC API France
Data of French companies via API: Company Start France,https://openapi.com/products/start-data-french-company,"Access data on over 37 million French businesses, from activity status to company name, registered office, and geolocation, all in real-time via API.",api,DMC API France
List of APIs/Active Pharmaceutical Ingredients Companies ...,https://app.biopharmiq.com/company-lists-all/list-of-apis-active-pharmaceutical-ingredients-companies-in-france,"Corden Pharma. Chenôve, France. CordenPharma is your full-service partner in the Contract Development & Manufacturing (CDMO) of APIs, Lipid Excipients, Drug ...",api,DMC API France
Top 10 Flight APIs in France (2025),https://www.travelomatix.com/top-10-flight-apis-in-france.html,"Their travel technology software is tailored to meet the specific needs of travel management companies, destination management companies, flight aggregators, ...",api,travel technology API France
"What Is a Travel Itinerary API, and How Can It Benefit Your ...",https://www.vonage.com/resources/articles/what-travel-itinerary-api-how-can-benefit-your-travel-business/,France (Français) ... Here's a deeper dive into this technology with a look at how APIs create opportunities for innovation in travel.,api,travel technology API France
Travel API is Changing the Travel Business – Learn How!,https://www.qtechsoftware.com/how-travel-api-is-transforming-travel-business/,"APIs allow travel companies to access airline, hotel, transfer, and sightseeing content in real-time. Using the Travel API, they check availability and prices ...",api,travel technology API France
The Vital Role of APIs in Travel Industry Innovation,https://www.switchfly.com/blog/apis-in-the-travel-industry,"APIs are used to integrate various service offerings such as flight bookings, hotel reservations, and car rentals into a single platform.",api,travel technology API France
Pre Arrival and Departure information,https://www.citalia.com/travel-information/advanced-passenger-information/,Find out what information you need to provide your airline under the government's Advanced Passenger Information (API) scheme.,api,travel API integration Italy
Global Travel API,https://bizaway.com/en/global-travel-api/,"One API for everything: Stays, flights, trains, and car rentals all in one integration · Simplified management: Eliminate the complexity of multiple suppliers ...",api,travel API integration Italy
Top 10 Travel Industry Software Companies in Italy,https://www.travelomatix.software/top-10-travel-industry-software-companies-in-italy.html,"At Travelomatix, our travel aggregator integration team and framework experts provide extensive support during APIs integration and live certification. They let ...",api,travel API integration Italy
RingCentral hiring Channel Manager - Italy and Spain in ...,https://bg.linkedin.com/jobs/view/channel-manager-italy-and-spain-at-ringcentral-4362071498,"Must be a fluent English, Italian speaker with at least good understanding of Spanish; Successful track record in growing Partners/Distributors revenues ...",channel manager,channel manager Italy 
Channel Manager,https://www.verticalbooking.com/en/our-solutions/channel-manager/,"Every new booking (or modification or cancellation) instantly updates availability across all connected channels, preventing overbooking. Centralized Management",channel manager,channel manager Italy 
"999 channel Jobs in Italy, April 2026","https://www.glassdoor.com/Job/italy-channel-jobs-SRCH_IL.0,5_IN120_KO6,13.htm",Channel Manager Italy - Travel & Expense Management. Turin. Easy Apply. Willingness to travel at least 30-50% of the time across Northern Italy. You will ...,channel manager,channel manager Italy 
Channel Manager for Hotel and apartments,https://ermeshotels.com/en/distribution/channel-manager-hotel/,The Ermeshotels channel manager for hotels and apartments is the most innovate management tool for online sales channels available on the market.,channel manager,channel manager Italy 
Lavoro Urgente: channel manager a Milano - Maggio 2026,https://it.jobsora.com/lavoro-channel-manager-milano,A prominent dental technology firm is seeking a Territory Manager for South Italy to drive commercial growth and support channel partners.,channel manager,channel manager Italy 
Il ruolo del Sales Channel Manager: cosa fa e quando ...,https://mercuri.it/insights/sales-channel-manager/,"Il Sales Channel Manager gestisce e coordina le attività di vendita attraverso i canali di vendita indiretta (rivenditori, distributori)",channel manager,channel manager Italy 
"Distribution Channel Manager - Sliema, Malta",https://mt.linkedin.com/jobs/view/distribution-channel-manager-at-italian-details-international-ltd-4308779555,Distribution Channel Manager · Seniority level. Mid-Senior level · Employment type. Full-time · Job function. Sales and Business Development · Industries.,channel manager,channel manager Italy 
Channel manager,https://viverestays.com/en/what-is-a-channel-manager/,"Channel managers may guide product positioning, pricing strategies, and marketing initiatives to drive demand and increase visibility in the marketplace.",channel manager,channel manager Italy 
Members - OCTO,https://octo.travel/members,"1way2italy is the main and free xml gateway for Italy (and more) for Tours Activities, and a software house with 36 years of experience working with 300 tour ...",xml,tour operator API Italy
Impera Tours API Integration,https://www.wbe.travel/partner/impera-tours/,"Integrate the leading Italian DMC ImperaTours with a great background, competitive prices from +5000 Hotels, reliable technology & great API connectivity.",api,tour operator API Italy
The World's Leading Hotel Channel Manager,https://www.siteminder.com/channel-manager/,SiteMinder's hotel channel manager is the leading solution in the industry. Try it free today and see why it's so powerful!,channel manager,travel supplier channel manager Italy
Channel Manager,https://avirato.com/EN/channel-manager/,"Avirato's channel manager connects to the most important booking channels on the market, and is fully integrated into our hotel management software PMS and ...",channel manager,travel supplier channel manager Italy
Italcamel - The leading Italian Specialist,https://www.italcamel.com/en/,"Over 150 customers work with us via XML/API, 9,000 travel agencies use our Booking Engine and over 40 Channel Managers are connected to our platform. 1979. Year ...",api,travel supplier channel manager Italy
Hotel & Vacation Rental Channel Manager,https://octorate.com/en/channel-manager/,"Octorate Vacation Rental is the complete solution to manage all distribution and online sales channels and update availability, rules, promotions and content ...",channel manager,travel supplier channel manager Italy
Channel manager | MIRABILIA TOURISM 2024,https://www.b2match.com/e/mirabilia-tourism-2024/opportunities/UGFydGljaXBhdGlvbk9wcG9ydHVuaXR5OjEyNzYxNQ==,We are able to connect most of the channel managers. Similar opportunities. Product. Tailor made tours: North-East Italy. Martina Masin.,channel manager,travel supplier channel manager Italy
Channel Manager for Tours & Activities,https://www.turitop.com/en/channel-manager-for-tours-and-activities/,"Manage all your bookings from one place with Turitop's Channel Manager. Connect with OTAs, automate availability and avoid overbooking to ...",channel manager,travel supplier channel manager Italy
"Florence, Italy | Lorenzo de' Medici [API]",https://studyabroad.d.umn.edu/get-started/search-programs/florence-italy-lorenzo-de-medici-api,"Study in Florence, Italy. Lorenzo de' Medici Institute (LdM) Acknowledged as the birthplace of Western culture, you'll find that Italy's traditional attitudes ...",api,DMC API Italy
"API Study Abroad Program at Lorenzo de Medici, Rome",https://www.gooverseas.com/study-abroad/italy/api-study-abroad/15753,"A variety of courses are available in Italian language, liberal arts, studio arts, and social sciences. This program is currently not being promoted on Go ...",api,DMC API Italy
API 1way2italy,https://facilitatrip.net/our-suppiers/accommodations-suppliers/api-1way2italy/,"1Way2Italy is a Hub from Aves (Italian tech Company) which connect Italian DMC's and supplies Accommodations, Activities, Transfers and Tickets.",api,DMC API Italy
Contract Manufacturing and APIs - Italy Life Sciences 2021,https://projects.gbreports.com/italy-life-sciences-2021/contract-manufacturing-and-apis,"Italy's CDMO industry has been growing uninterruptedly since 2005, making the country a European leader in toll production.",api,DMC API Italy
Italy: API Optimization Manager,https://blog.ratehawk.com/italy-api-optimization-manager/,"We are looking for an experienced API Optimization Manager in Italy to join our international B2B brand RateHawk, develop our business and ...",api,travel technology API Italy
Intern or Study Abroad in Italy,https://apiabroad.com/gap-intern-study-abroad-italy/,"API offers wonderful opportunities to take a gap semester or year, study or intern abroad in Italy or take a virtual course and learn about and absorb the ...",api,travel technology API Italy
"What is Travel API, and how can it help your business?",https://www.pratra.com/blog/what-is-travel-api-and-how-can-it-help-your-business,The travel API is designed to act as a catalyst between those looking for solutions and travel suppliers and make communication more efficient.,api,travel technology API Italy
